accionnoencontrada| |sacartuboligacion| |2013-05-10T17:12:32.0000000Z
dependenciabloq|f2t13|tomarpolimerasa|f2t6|2013-05-10T17:12:51.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-10T17:13:05.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2013-05-10T17:13:12.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2013-05-10T17:13:15.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-10T17:13:22.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2013-05-10T17:13:27.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-10T17:13:30.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T17:13:46.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-10T17:14:37.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T17:14:53.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T17:14:57.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-10T17:17:26.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T17:18:12.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T17:18:17.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T17:20:58.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T17:21:01.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-10T17:21:54.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T17:23:41.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T17:23:50.0000000Z
accionrealizada|f2t57|cerrarpcr|cerrarpcr|2013-05-10T17:25:32.0000000Z
dependenciabloq|f2t59|entregarmezclapcr|f2t58|2013-05-10T17:25:51.0000000Z
accionrealizada|f3t4|calentartermobloque|calentartermobloque|2013-05-10T17:26:56.0000000Z
dependenciabloq|f3t53|soltarpipetaamarilla|f3t52|2013-05-10T17:34:01.0000000Z
dependenciabloq|f3t53|soltarpipetaamarilla|f3t52|2013-05-10T17:34:03.0000000Z
accionrealizada|f3t35|agregartamponligasa|agregartamponligasa|2013-05-10T17:34:39.0000000Z
accionrealizada|f3t37|agregaraguadestilada|agregaraguadestilada|2013-05-10T17:34:45.0000000Z
dependenciasnobloq|f3t52|finmezcla|f3t33-f3t34|2013-05-10T17:34:56.0000000Z
incompatibilidadnobloq|f3t52|finmezcla|f3t39|2013-05-10T17:34:56.0000000Z
accionnoencontrada| |encenderpcr| |2013-05-10T17:35:46.0000000Z
accionnoencontrada| |encenderpcr| |2013-05-10T17:36:01.0000000Z
dependenciabloq|f3t57|cerrartermobloque|f3t56|2013-05-10T17:37:14.0000000Z
