accionrealizada|f2t49|agregartampote|agregartampote|2015-06-15T10:36:00.0000000Z
accionrealizada|f2t41|agregaraguadestilada|agregaraguadestilada|2015-06-15T10:36:04.0000000Z
accionrealizada|f2t42|agregarenzimaligasa|agregarenzimaligasa|2015-06-15T10:36:33.0000000Z
accionrealizada|f2t52|finmezcla|finmezcla|2015-06-15T10:36:45.0000000Z
accionrealizada|f2t52|finmezcla|finmezcla|2015-06-15T10:36:49.0000000Z
accionrealizada|f2t52|finmezcla|finmezcla|2015-06-15T10:36:58.0000000Z
accionrealizada|f2t52|finmezcla|finmezcla|2015-06-15T10:37:07.0000000Z
accionrealizada|f2t52|finmezcla|finmezcla|2015-06-15T10:38:35.0000000Z
accionnoencontrada| |sacartuboligacion| |2015-06-15T10:38:38.0000000Z
accionnoencontrada| |sacartuboligacion| |2015-06-15T10:38:40.0000000Z
accionnoencontrada| |sacartuboligacion| |2015-06-15T10:38:43.0000000Z
accionnoencontrada| |sacartuboligacion| |2015-06-15T10:38:46.0000000Z
accionnoencontrada| |sacartuboligacion| |2015-06-15T10:38:48.0000000Z
accionrealizada|f2t31|adjuntarpipetaamarilla|adjuntarpipetaamarilla|2015-06-15T10:42:54.0000000Z
accionrealizada|f2t31|adjuntarpipetaamarilla|adjuntarpipetaamarilla|2015-06-15T10:42:59.0000000Z
accionrealizada|f2t31|adjuntarpipetaamarilla|adjuntarpipetaamarilla|2015-06-15T10:43:03.0000000Z
accionrealizada|f2t31|adjuntarpipetaamarilla|adjuntarpipetaamarilla|2015-06-15T10:43:08.0000000Z
accionrealizada|f2t31|adjuntarpipetaamarilla|adjuntarpipetaamarilla|2015-06-15T10:43:12.0000000Z
accionrealizada|f2t31|adjuntarpipetaamarilla|adjuntarpipetaamarilla|2015-06-15T10:43:33.0000000Z
accionrealizada|f2t31|adjuntarpipetaamarilla|adjuntarpipetaamarilla|2015-06-15T10:43:38.0000000Z
accionrealizada|f2t31|adjuntarpipetaamarilla|adjuntarpipetaamarilla|2015-06-15T10:43:43.0000000Z
accionrealizada|f2t31|adjuntarpipetaamarilla|adjuntarpipetaamarilla|2015-06-15T10:45:14.0000000Z
accionrealizada|f2t31|adjuntarpipetaamarilla|adjuntarpipetaamarilla|2015-06-15T10:45:18.0000000Z
accionrealizada|f2t31|adjuntarpipetaamarilla|adjuntarpipetaamarilla|2015-06-15T10:47:01.0000000Z
accionrealizada|f2t31|adjuntarpipetaamarilla|adjuntarpipetaamarilla|2015-06-15T10:47:13.0000000Z
accionrealizada|f2t52|finmezcla|finmezcla|2015-06-15T10:49:12.0000000Z
dependenciasnobloq|f2t52|finmezcla|f2t34-f2t35-f2t38-f2t39|2015-06-15T10:50:15.0000000Z
incompatibilidadnobloq|f2t52|finmezcla|f2t42-f2t43-f2t49-f2t51|2015-06-15T10:50:18.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:51:11.0000000Z
accionnoencontrada| |abrirtermobloque| |2015-06-15T10:51:18.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2015-06-15T10:51:23.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:53:05.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:53:09.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:53:12.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:53:16.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:53:19.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:53:23.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:53:26.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:53:30.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:53:33.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:53:37.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:53:40.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:53:44.0000000Z
accionrealizada|f2t57|cerrarpcr|cerrarpcr|2015-06-15T10:53:59.0000000Z
accionrealizada|f2t57|cerrarpcr|cerrarpcr|2015-06-15T10:54:02.0000000Z
accionrealizada|f2t59|entregarmezclapcr|entregarmezclapcr|2015-06-15T10:54:59.0000000Z
accionnoencontrada| |encendertermobloque| |2015-06-15T10:56:47.0000000Z
accionnoencontrada| |encendertermobloque| |2015-06-15T10:56:50.0000000Z
accionnoencontrada| |encendertermobloque| |2015-06-15T10:56:53.0000000Z
accionrealizada|f3t28|sacartuboligacion|sacartuboligacion|2015-06-15T10:59:17.0000000Z
accionrealizada|f3t28|sacartuboligacion|sacartuboligacion|2015-06-15T10:59:20.0000000Z
accionrealizada|f3t32|iniciarmezcla|iniciarmezcla|2015-06-15T11:00:14.0000000Z
accionrealizada|f3t32|iniciarmezcla|iniciarmezcla|2015-06-15T11:00:18.0000000Z
accionnoencontrada| |agregaragrobacterium| |2015-06-15T11:00:24.0000000Z
accionnoencontrada| |guardarpcr| |2015-06-15T11:00:55.0000000Z
dependenciabloq|f3t60|guardarligacion|f3t59|2015-06-15T11:01:12.0000000Z
dependenciabloq|f3t57|cerrartermobloque|f3t56|2015-06-15T11:04:06.0000000Z
dependenciasnobloq|f3t52|finmezcla|f3t33-f3t34|2015-06-15T11:05:29.0000000Z
incompatibilidadnobloq|f3t52|finmezcla|f3t39-f3t42-f3t48-f3t50|2015-06-15T11:05:35.0000000Z
accionrealizada|f3t52|finmezcla|finmezcla|2015-06-15T11:05:42.0000000Z
accionrealizada|f3t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-15T11:05:59.0000000Z
accionrealizada|f3t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-15T11:06:02.0000000Z
accionrealizada|f3t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-15T11:06:06.0000000Z
accionrealizada|f3t54|entregartubomezcla|entregartubomezcla|2015-06-15T11:06:17.0000000Z
accionrealizada|f3t54|entregartubomezcla|entregartubomezcla|2015-06-15T11:06:21.0000000Z
accionrealizada|f3t54|entregartubomezcla|entregartubomezcla|2015-06-15T11:06:24.0000000Z
accionrealizada|f3t54|entregartubomezcla|entregartubomezcla|2015-06-15T11:06:28.0000000Z
accionrealizada|f3t54|entregartubomezcla|entregartubomezcla|2015-06-15T11:06:31.0000000Z
accionrealizada|f3t54|entregartubomezcla|entregartubomezcla|2015-06-15T11:06:35.0000000Z
accionrealizada|f3t54|entregartubomezcla|entregartubomezcla|2015-06-15T11:06:38.0000000Z
accionrealizada|f3t54|entregartubomezcla|entregartubomezcla|2015-06-15T11:06:41.0000000Z
dependenciabloq|f3t57|cerrartermobloque|f3t56|2015-06-15T11:06:44.0000000Z
dependenciabloq|f3t57|cerrartermobloque|f3t56|2015-06-15T11:06:48.0000000Z
dependenciabloq|f3t57|cerrartermobloque|f3t56|2015-06-15T11:06:53.0000000Z
