dependenciabloq|f2t33|iniciarmezcla|f2t29|2014-06-05T18:17:31.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2014-06-05T18:17:36.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2014-06-05T18:17:40.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2014-06-05T18:17:44.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2014-06-05T18:17:54.0000000Z
accionrealizada|f2t27|entregarboteeppendorf|entregarboteeppendorf|2014-06-05T18:18:26.0000000Z
accionrealizada|f2t29|sacartuboeppendorf|sacartuboeppendorf|2014-06-05T18:18:54.0000000Z
accionrealizada|f2t29|sacartuboeppendorf|sacartuboeppendorf|2014-06-05T18:18:57.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-06-05T18:19:35.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-06-05T18:19:38.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-06-05T18:20:47.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-06-05T18:20:50.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-06-05T18:20:56.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2014-06-05T18:22:20.0000000Z
accionrealizada|f2t15|tomarenzimaligasa|tomarenzimaligasa|2014-06-05T18:45:15.0000000Z
accionrealizada|f2t13|tomarpolimerasa|tomarpolimerasa|2014-06-05T18:45:24.0000000Z
accionrealizada|f2t9|tomaroligonucleicoder|tomaroligonucleicoder|2014-06-05T18:45:58.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-06-05T18:46:50.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-06-05T18:46:58.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-06-05T18:47:05.0000000Z
accionrealizada|f2t27|entregarboteeppendorf|entregarboteeppendorf|2014-06-05T18:47:55.0000000Z
accionrealizada|f2t27|entregarboteeppendorf|entregarboteeppendorf|2014-06-05T18:48:01.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-06-05T18:48:40.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-06-05T18:48:49.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-06-05T18:48:54.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-06-05T18:49:06.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-06-05T18:49:31.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-06-05T18:52:07.0000000Z
dependenciasnobloq|f2t52|finmezcla|f2t34-f2t35-f2t38-f2t39-f2t41|2014-06-05T18:55:19.0000000Z
incompatibilidadnobloq|f2t52|finmezcla|f2t42-f2t51|2014-06-05T18:55:25.0000000Z
accionrealizada|f2t52|finmezcla|finmezcla|2014-06-05T18:55:31.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2014-06-05T18:56:12.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2014-06-05T18:56:20.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2014-06-05T18:58:27.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2014-06-05T18:58:52.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2014-06-05T18:59:02.0000000Z
accionrealizada|f2t57|cerrarpcr|cerrarpcr|2014-06-05T18:59:28.0000000Z
accionrealizada|f2t57|cerrarpcr|cerrarpcr|2014-06-05T18:59:32.0000000Z
dependenciabloq|f2t59|entregarmezclapcr|f2t58|2014-06-05T18:59:50.0000000Z
accionrealizada|f2t59|entregarmezclapcr|entregarmezclapcr|2014-06-05T19:00:22.0000000Z
accionnoencontrada| |encenderpcr| |2014-06-05T19:00:37.0000000Z
accionnoencontrada| |encendertermobloque| |2014-06-05T19:02:02.0000000Z
accionnoencontrada| |encendertermobloque| |2014-06-05T19:02:05.0000000Z
accionrealizada|f3t14|tomartamponpolimerasa|tomartamponpolimerasa|2014-06-05T19:06:47.0000000Z
accionrealizada|f3t17|tomarpolimerasa|tomarpolimerasa|2014-06-05T19:07:02.0000000Z
accionrealizada|f3t9|tomartamponligasa|tomartamponligasa|2014-06-05T19:07:31.0000000Z
accionrealizada|f3t31|cargarpuntaamarilla|cargarpuntaamarilla|2014-06-05T19:09:11.0000000Z
accionrealizada|f3t32|iniciarmezcla|iniciarmezcla|2014-06-05T19:09:28.0000000Z
accionrealizada|f3t32|iniciarmezcla|iniciarmezcla|2014-06-05T19:09:33.0000000Z
accionrealizada|f3t32|iniciarmezcla|iniciarmezcla|2014-06-05T19:09:38.0000000Z
dependenciasnobloq|f3t52|finmezcla|f3t33-f3t34-f3t37|2014-06-05T19:10:45.0000000Z
incompatibilidadnobloq|f3t52|finmezcla|f3t39-f3t41-f3t42-f3t50|2014-06-05T19:11:04.0000000Z
accionnoencontrada| |encendertermobloque| |2014-06-05T19:12:05.0000000Z
accionnoencontrada| |encendertermobloque| |2014-06-05T19:12:21.0000000Z
accionnoencontrada| |encendertermobloque| |2014-06-05T19:12:25.0000000Z
accionnoencontrada| |encendertermobloque| |2014-06-05T19:12:29.0000000Z
accionrealizada|f3t55|abrirtermobloque|abrirtermobloque|2014-06-05T19:12:45.0000000Z
accionrealizada|f3t55|abrirtermobloque|abrirtermobloque|2014-06-05T19:12:50.0000000Z
accionrealizada|f3t55|abrirtermobloque|abrirtermobloque|2014-06-05T19:12:54.0000000Z
accionrealizada|f3t59|entregarmezclaligacion|entregarmezclaligacion|2014-06-05T19:14:26.0000000Z
accionrealizada|f3t60|guardarligacion|guardarligacion|2014-06-05T19:15:33.0000000Z
accionrealizada|f3t60|guardarligacion|guardarligacion|2014-06-05T19:15:46.0000000Z
accionrealizada|f3t60|guardarligacion|guardarligacion|2014-06-05T19:16:42.0000000Z
accionrealizada|f3t60|guardarligacion|guardarligacion|2014-06-05T19:17:11.0000000Z
accionrealizada|f3t60|guardarligacion|guardarligacion|2014-06-05T19:18:31.0000000Z
accionrealizada|f3t61|soltartubonevera|soltartubonevera|2014-06-05T19:21:41.0000000Z
accionrealizada|f3t61|soltartubonevera|soltartubonevera|2014-06-05T19:21:45.0000000Z
