f2t36|agregaroligonucleicoder| | | |2014-06-09T17:53:39.0000000Z
f2t35|agregaroligonucleicoizq| | | |2014-06-09T17:53:49.0000000Z
f2t37|agregartamponpolimerasa| | | |2014-06-09T17:53:57.0000000Z
f2t38|agregarmgcl| | | |2014-06-09T17:54:03.0000000Z
f2t39|agregardntp| | | |2014-06-09T17:54:10.0000000Z
f2t40|agregarpolimerasa| | | |2014-06-09T17:54:17.0000000Z
f2t41|agregaraguadestilada| | | |2014-06-09T17:54:29.0000000Z
f2t52|finmezcla| | | |2014-06-09T17:54:48.0000000Z
f2t53|soltarpipetaamarilla| | | |2014-06-09T17:54:59.0000000Z
f2t54|entregartubomezcla| | | |2014-06-09T17:55:10.0000000Z
f2t55|abrirpcr| | | |2014-06-09T17:55:38.0000000Z
f2t56|soltarmezcla| | | |2014-06-09T17:55:49.0000000Z
f2t57|cerrarpcr| | | |2014-06-09T17:56:00.0000000Z
f2t58|amplificarfragmento| | | |2014-06-09T17:56:08.0000000Z
f2t59|entregarmezclapcr| | | |2014-06-09T17:56:54.0000000Z
f2t60|guardarpcr| | | |2014-06-09T17:57:31.0000000Z
f2t61|soltartubonevera| | | |2014-06-09T17:57:50.0000000Z
f3t1|encendertermobloque| | | |2014-06-09T17:58:15.0000000Z
f3t4|calentartermobloque| | | |2014-06-09T17:58:16.0000000Z
f3t3|releerprotocolo| | | |2014-06-09T17:58:26.0000000Z
f3t2|releerfundamentos| | | |2014-06-09T18:00:03.0000000Z
f3t5|entregarbandejahielo| | | |2014-06-09T18:01:11.0000000Z
f3t7|tomaradnplasmidico| | | |2014-06-09T18:02:17.0000000Z
f3t8|tomarmezclapcr| | | |2014-06-09T18:03:08.0000000Z
f3t9|tomartamponligasa| | | |2014-06-09T18:04:16.0000000Z
f3t10|tomarenzimaligasa| | | |2014-06-09T18:04:27.0000000Z
f3t11|tomaraguadestilada| | | |2014-06-09T18:04:39.0000000Z
f3t27|soltarbandejapoyata| | | |2014-06-09T18:05:04.0000000Z
f3t26|soltarbandejapoyataprimeravez| | | |2014-06-09T18:05:09.0000000Z
f3t28|sacartuboligacion| | | |2014-06-09T18:05:23.0000000Z
f3t29|entregarpipetaamarilla| | | |2014-06-09T18:05:35.0000000Z
f3t31|cargarpuntaamarilla| | | |2014-06-09T18:05:58.0000000Z
f3t32|iniciarmezcla| | | |2014-06-09T18:06:13.0000000Z
f3t33|agregaradnplasmidico| | | |2014-06-09T18:06:27.0000000Z
f3t34|agregarmezclapcr| | | |2014-06-09T18:06:37.0000000Z
f3t35|agregartamponligasa| | | |2014-06-09T18:06:44.0000000Z
f3t36|agregarenzimaligasa| | | |2014-06-09T18:06:53.0000000Z
f3t37|agregaraguadestilada| | | |2014-06-09T18:07:01.0000000Z
f3t52|finmezcla| | | |2014-06-09T18:07:32.0000000Z
f3t53|soltarpipetaamarilla| | | |2014-06-09T18:07:52.0000000Z
f3t54|entregartubomezcla| | | |2014-06-09T18:08:03.0000000Z
f3t55|abrirtermobloque| | | |2014-06-09T18:08:30.0000000Z
f3t56|soltarmezcla| | | |2014-06-09T18:08:41.0000000Z
f3t57|cerrartermobloque| | | |2014-06-09T18:08:47.0000000Z

f3t58|amplificarfragmento| | | |2014-06-09T18:09:07.0000000Z
f3t59|entregarmezclaligacion| | | |2014-06-09T18:09:24.0000000Z
f3t60|guardarligacion| | | |2014-06-09T18:09:51.0000000Z
f3t61|soltartubonevera| | | |2014-06-09T18:10:01.0000000Z
