accionrealizada|f3t55|abrirtermobloque|abrirtermobloque|2015-06-17T10:44:12.0000000Z
accionrealizada|f3t28|sacartuboligacion|sacartuboligacion|2015-06-17T10:44:22.0000000Z
accionrealizada|f3t28|sacartuboligacion|sacartuboligacion|2015-06-17T10:44:26.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2015-06-17T10:44:32.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t31|2015-06-17T10:44:59.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t31|2015-06-17T10:45:06.0000000Z
accionrealizada|f3t31|cargarpuntaamarilla|cargarpuntaamarilla|2015-06-17T10:45:24.0000000Z
dependenciasnobloq|f3t52|finmezcla|f3t34|2015-06-17T10:46:28.0000000Z
dependenciabloq|f3t57|cerrartermobloque|f3t56|2015-06-17T10:47:45.0000000Z
dependenciabloq|f3t57|cerrartermobloque|f3t56|2015-06-17T10:48:00.0000000Z
accionnoencontrada| |entregarchopocrecido| |2015-06-17T10:58:45.0000000Z
