accionnoencontrada| |tomaradnplasmidico| |2014-05-19T18:18:43.0000000Z
accionnoencontrada| |tomaradnplasmidico| |2014-05-19T18:23:12.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-19T18:24:24.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-19T18:24:43.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2014-05-19T18:25:14.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2014-05-19T18:25:46.0000000Z
accionrealizada|f2t27|entregarboteeppendorf|entregarboteeppendorf|2014-05-19T18:26:55.0000000Z
accionrealizada|f2t28|soltarboteeppendorf|soltarboteeppendorf|2014-05-19T18:28:14.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2014-05-19T18:28:27.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2014-05-19T18:28:47.0000000Z
accionrealizada|f2t29|sacartuboeppendorf|sacartuboeppendorf|2014-05-19T18:29:12.0000000Z
accionrealizada|f2t29|sacartuboeppendorf|sacartuboeppendorf|2014-05-19T18:29:16.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2014-05-19T18:29:55.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2014-05-19T18:30:00.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2014-05-19T18:30:06.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2014-05-19T18:30:25.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2014-05-19T18:31:06.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2014-05-19T18:31:12.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2014-05-19T18:31:54.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:32:07.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:32:12.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:32:16.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:32:20.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:32:25.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:32:29.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:32:34.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:32:44.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:32:48.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:32:52.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:33:35.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:33:39.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:33:44.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:34:21.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:35:36.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:35:41.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:35:45.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:36:08.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-19T18:36:18.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2014-05-19T18:36:41.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-19T18:38:14.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2014-05-19T18:38:24.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-19T18:38:39.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-19T18:38:58.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-19T18:39:41.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-19T18:42:50.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:43:14.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:43:38.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:43:42.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:44:22.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:45:42.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:45:55.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:46:32.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:46:36.0000000Z
