accionrealizada|f1t36|llenarbotes|llenarbotes|2013-05-21T16:00:41.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2013-05-21T16:00:45.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2013-05-21T16:00:47.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2013-05-21T16:00:49.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2013-05-21T16:00:54.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2013-05-21T16:00:57.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2013-05-21T16:00:59.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2013-05-21T16:01:01.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2013-05-21T16:01:03.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2013-05-21T16:01:05.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2013-05-21T16:01:14.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2013-05-21T16:01:16.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2013-05-21T16:01:18.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2013-05-21T16:01:24.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2013-05-21T16:01:37.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2013-05-21T16:01:41.0000000Z
accionrealizada|f1t42|apagarcabina|apagarcabina|2013-05-21T16:02:23.0000000Z
dependenciabloq|f2t9|tomaroligonucleicoder|f2t6|2013-05-21T16:10:16.0000000Z
accionnoencontrada| |tomaradnplasmidico| |2013-05-21T16:11:23.0000000Z
accionnoencontrada| |entregarbandeja| |2013-05-21T16:12:36.0000000Z
accionnoencontrada| |entregarbandeja| |2013-05-21T16:12:51.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-21T16:13:55.0000000Z
accionnoencontrada| |sacartuboligacion| |2013-05-21T16:15:03.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-21T16:15:08.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2013-05-21T16:15:13.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2013-05-21T16:15:40.0000000Z
dependenciasnobloq|f2t52|finmezcla|f2t37-f2t38-f2t39-f2t40-f2t41|2013-05-21T16:16:49.0000000Z
dependenciabloq|f2t54|entregartubomezcla|f2t53|2013-05-21T16:17:41.0000000Z
dependenciabloq|f2t54|entregartubomezcla|f2t53|2013-05-21T16:17:52.0000000Z
dependenciabloq|f2t54|entregartubomezcla|f2t53|2013-05-21T16:17:54.0000000Z
dependenciabloq|f2t54|entregartubomezcla|f2t53|2013-05-21T16:17:56.0000000Z
dependenciabloq|f2t54|entregartubomezcla|f2t53|2013-05-21T16:17:58.0000000Z
dependenciabloq|f2t54|entregartubomezcla|f2t53|2013-05-21T16:18:00.0000000Z
dependenciabloq|f2t54|entregartubomezcla|f2t53|2013-05-21T16:19:38.0000000Z
dependenciabloq|f2t54|entregartubomezcla|f2t53|2013-05-21T16:20:28.0000000Z
dependenciabloq|f2t54|entregartubomezcla|f2t53|2013-05-21T16:20:30.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-21T16:20:45.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-21T16:20:50.0000000Z
dependenciabloq|f2t54|entregartubomezcla|f2t53|2013-05-21T16:21:12.0000000Z
dependenciabloq|f2t54|entregartubomezcla|f2t53|2013-05-21T16:21:26.0000000Z
accionnoencontrada| |sacartuboligacion| |2013-05-21T16:22:42.0000000Z
dependenciabloq|f2t54|entregartubomezcla|f2t53|2013-05-21T16:22:42.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-21T16:22:46.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-21T16:23:34.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-21T16:26:29.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-21T16:26:38.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-21T16:26:47.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-21T16:27:18.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-21T16:27:20.0000000Z
accionrealizada|f2t60|guardarpcr|guardarpcr|2013-05-21T16:29:12.0000000Z
dependenciabloq|f3t57|cerrartermobloque|f3t56|2013-05-21T16:33:24.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-21T16:34:52.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-21T16:34:55.0000000Z
dependenciasnobloq|f3t52|finmezcla|f3t37|2013-05-21T16:35:42.0000000Z
dependenciabloq|f3t57|cerrartermobloque|f3t56|2013-05-21T16:36:24.0000000Z
accionnoencontrada| |lavarsemanos| |2013-05-21T16:56:23.0000000Z
